SCIENTIFIC_NAME,COMMON_NAME,TAXON_ID,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES
Motacilla capensis,Cape Wagtail,TC010367,capwag1,species,27505.0,CAWA,MOCA,
Motacilla flaviventris,Madagascar Wagtail,TC010368,madwag1,species,27509.0,MAWA,MOFL,
Motacilla cinerea,Gray Wagtail,TC010369,grywag,species,27510.0,GRWA,MOCI,GRAW
Motacilla clara,Mountain Wagtail,TC010370,mouwag1,species,27514.0,MOWA,MOCL,
Motacilla alba,White Wagtail,TC010371,whiwag,species,27518.0,,MOAL,WHWA
Motacilla maderaspatensis,White-browed Wagtail,TC010378,whbwag1,species,27530.0,WBWA,MOMA,
Motacilla grandis,Japanese Wagtail,TC010379,japwag1,species,27531.0,JAWA,MOGR,
Motacilla samveasnae,Mekong Wagtail,TC010380,mekwag1,species,27532.0,MEWA,MOSA,
Motacilla aguimp,African Pied Wagtail,TC010381,afpwag1,species,27533.0,APWA,MOAG,
Madanga ruficollis,Madanga,TC009965,rtweye1,species,27536.5,MADA,MARU,
Anthus novaeseelandiae,Australasian Pipit,TC010383,auspip1,species,27537.0,AUPI AZPI,ANNO,
Anthus richardi,Richard's Pipit,TC010384,ricpip1,species,27547.0,RIPI,ANRI,
Anthus rufulus,Paddyfield Pipit,TC010385,oripip1,species,27553.0,PAPI,ANRU,
Anthus cinnamomeus,African Pipit,TC010386,afrpip1,species,27560.0,AFPI,ANCI,
Anthus hoeschi,Mountain Pipit,TC010387,moupip1,species,27574.0,MOPI,ANHO,
Anthus latistriatus,Jackson's Pipit,TC010388,jacpip1,species,27575.0,JAPI AFPI,ANLA,
Anthus nyassae,Woodland Pipit,TC010389,woopip1,species,27576.0,WOPI,ANNY,
Anthus similis,Long-billed Pipit,TC010390,lobpip1,species,27581.0,LBPI,ANSI,
Anthus godlewskii,Blyth's Pipit,TC010392,blypip1,species,27602.0,BLPI,ANGO,
Anthus campestris,Tawny Pipit,TC010393,tawpip1,species,27603.0,TAPI,ANCA,
Anthus leucophrys,Plain-backed Pipit,TC010394,plbpip1,species,27607.0,PBPI,ANLE,
Anthus vaalensis,Buffy Pipit,TC010396,bufpip1,species,27616.0,BUPI,ANVA,
Anthus pallidiventris,Long-legged Pipit,TC010397,lolpip1,species,27625.0,LLPI,ANPA,
