SCIENTIFIC_NAME,COMMON_NAME,TAXON_ID,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES
Struthio camelus,Common Ostrich,TC000002,ostric2,species,3.0,COOS,STCA,
Struthio molybdophanes,Somali Ostrich,TC000003,ostric3,species,5.0,SOOS,STMO,
Rhea americana,Greater Rhea,TC000004,grerhe1,species,7.0,GRRH,RHAM,
Rhea pennata,Lesser Rhea,TC000005,lesrhe2,species,13.0,LERH,RHPE,
Nothocercus julius,Tawny-breasted Tinamou,TC000018,tabtin1,species,32.0,TBTI,NOJU,
Nothocercus bonapartei,Highland Tinamou,TC000019,higtin1,species,33.0,,NOBO,HITI
Nothocercus nigrocapillus,Hooded Tinamou,TC000022,hootin1,species,40.0,HOTI,NONI,
Tinamus tao,Gray Tinamou,TC000023,grytin1,species,43.0,GRTI,TITA,
Tinamus solitarius,Solitary Tinamou,TC000024,soltin1,species,48.0,SOTI,TISO,
Tinamus osgoodi,Black Tinamou,TC000025,blatin1,species,49.0,BLTI,TIOS,
Tinamus major,Great Tinamou,TC000026,gretin1,species,52.0,,TIMA,GRTI
Tinamus guttatus,White-throated Tinamou,TC000027,whttin1,species,65.0,WTTI,TIGU,
Crypturellus cinereus,Cinereous Tinamou,TC000029,cintin1,species,67.0,CITI,CRCI,
Crypturellus berlepschi,Berlepsch's Tinamou,TC000030,bertin1,species,68.0,BETI,CRBE,
Crypturellus soui,Little Tinamou,TC000031,littin1,species,69.0,,CRSO,LITI
Crypturellus ptaritepui,Tepui Tinamou,TC000032,teptin1,species,84.0,TETI,CRPT,
Crypturellus obsoletus,Brown Tinamou,TC000033,brotin1,species,85.0,BRTI,CROB,
Crypturellus undulatus,Undulated Tinamou,TC000034,undtin1,species,95.0,UNTI,CRUN,
Crypturellus transfasciatus,Pale-browed Tinamou,TC000035,pabtin1,species,102.0,PBTI,CRTR,
Crypturellus strigulosus,Brazilian Tinamou,TC000036,bratin1,species,103.0,BRTI,CRST,
Crypturellus duidae,Gray-legged Tinamou,TC000037,gyltin1,species,104.0,GLTI,CRDU,
Crypturellus erythropus,Red-legged Tinamou,TC000038,reltin1,species,105.0,RLTI,CRER,
Crypturellus noctivagus,Yellow-legged Tinamou,TC000039,yeltin1,species,113.0,YLTI,CRNO,
Crypturellus atrocapillus,Black-capped Tinamou,TC000040,blctin1,species,116.0,BCTI,CRAT,
Crypturellus boucardi,Slaty-breasted Tinamou,TC000041,slbtin1,species,119.0,,CRBO,SBTI
Crypturellus kerriae,Choco Tinamou,TC000042,chotin1,species,122.0,,CRKE,CHTI
Crypturellus variegatus,Variegated Tinamou,TC000043,vartin1,species,123.0,VATI,CRVA,
Crypturellus cinnamomeus,Thicket Tinamou,TC000044,thitin1,species,124.0,,CRCI,THTI
Crypturellus brevirostris,Rusty Tinamou,TC000045,rustin1,species,134.0,RUTI,CRBR,
Crypturellus bartletti,Bartlett's Tinamou,TC000046,bartin2,species,135.0,BATI,CRBA,
Crypturellus parvirostris,Small-billed Tinamou,TC000047,smbtin1,species,136.0,SBTI,CRPA,
Crypturellus casiquiare,Barred Tinamou,TC000048,bartin1,species,137.0,BATI,CRCA,
Crypturellus tataupa,Tataupa Tinamou,TC000049,tattin1,species,138.0,TATI,CRTA,
Rhynchotus rufescens,Red-winged Tinamou,TC000051,rewtin1,species,144.0,RWTI,RHRU,
Rhynchotus maculicollis,Huayco Tinamou,TC000052,huatin1,species,148.0,HUTI,RHMA,
Nothoprocta taczanowskii,Taczanowski's Tinamou,TC000053,tactin1,species,149.0,TATI,NOTA,
Nothoprocta ornata,Ornate Tinamou,TC000054,orntin1,species,150.0,ORTI,NOOR,
Nothoprocta perdicaria,Chilean Tinamou,TC000055,chitin1,species,154.0,CHTI,NOPE,
Nothoprocta cinerascens,Brushland Tinamou,TC000056,brutin1,species,157.0,BRTI,NOCI,
Nothoprocta pentlandii,Andean Tinamou,TC000057,andtin1,species,160.0,ANTI,NOPE,
Nothoprocta curvirostris,Curve-billed Tinamou,TC000058,cubtin1,species,168.0,CBTI,NOCU,
Nothura boraquira,White-bellied Nothura,TC000060,whbnot1,species,172.0,WBNO,NOBO,
Nothura minor,Lesser Nothura,TC000061,lesnot1,species,173.0,LENO,NOMI,
Nothura darwinii,Darwin's Nothura,TC000062,darnot1,species,174.0,DANO,NODA,
Nothura maculosa,Spotted Nothura,TC000063,sponot1,species,180.0,SPNO,NOMA,
Nothura chacoensis,Chaco Nothura,TC000064,chanot1,species,189.0,CHNO,NOCH,
Taoniscus nanus,Dwarf Tinamou,TC000065,dwatin1,species,190.0,DWTI,TANA,
Eudromia elegans,Elegant Crested-Tinamou,TC000066,elctin1,species,191.0,ECTI ELCT,EUEL,
Eudromia formosa,Quebracho Crested-Tinamou,TC000067,quctin1,species,202.0,QUCT QCTI,EUFO,
Tinamotis pentlandii,Puna Tinamou,TC000068,puntin1,species,205.0,PUTI,TIPE,
Tinamotis ingoufi,Patagonian Tinamou,TC000069,pattin1,species,206.0,PATI,TIIN,
Casuarius casuarius,Southern Cassowary,TC000008,soucas1,species,207.05,SOCA,CACA,
Casuarius bennetti,Dwarf Cassowary,TC000009,dwacas1,species,207.1,DWCA,CABE,
Casuarius unappendiculatus,Northern Cassowary,TC000010,norcas1,species,207.15,NOCA,CAUN,
Dromaius novaehollandiae,Emu,TC000011,emu1,species,207.2,EMU,DRNO,
Apteryx australis,Southern Brown Kiwi,TC000013,sobkiw1,species,207.45,SBKI TOKO,APAU,
Apteryx rowi,Okarito Brown Kiwi,TC000014,okbkiw1,species,207.6,OKKI OBKI,APRO,
Apteryx mantelli,North Island Brown Kiwi,TC000015,nibkiw1,species,207.65,NIBK,APMA,
Apteryx owenii,Little Spotted Kiwi,TC000016,liskiw1,species,207.7,LSKI,APOW,
Apteryx haastii,Great Spotted Kiwi,TC000017,grskiw1,species,207.75,GSKI,APHA,
Anhima cornuta,Horned Screamer,TC000071,horscr1,species,208.0,HOSC,ANCO,
Chauna torquata,Southern Screamer,TC000072,souscr1,species,209.0,SOSC,CHTO,
Chauna chavaria,Northern Screamer,TC000073,norscr1,species,210.0,NOSC,CHCH,
Anseranas semipalmata,Magpie Goose,TC000074,maggoo1,species,211.0,MAGO,ANSE,
Dendrocygna guttata,Spotted Whistling-Duck,TC000075,spwduc1,species,212.0,SWDU SPWD,DEGU,
Dendrocygna eytoni,Plumed Whistling-Duck,TC000076,plwduc1,species,213.0,PWDU PLWD,DEEY,
Dendrocygna viduata,White-faced Whistling-Duck,TC000077,wfwduc1,species,214.0,WFDU,DEVI,WFWD
Dendrocygna autumnalis,Black-bellied Whistling-Duck,TC000078,bbwduc,species,215.0,,DEAU,BBWD
Dendrocygna arborea,West Indian Whistling-Duck,TC000079,wiwduc1,species,216.0,,DEAR,WIWD
Dendrocygna bicolor,Fulvous Whistling-Duck,TC000080,fuwduc,species,217.0,FUDU FWDU,DEBI,FUWD
Dendrocygna arcuata,Wandering Whistling-Duck,TC000081,wawduc1,species,218.0,WWDU WAWD,DEAR,
Dendrocygna javanica,Lesser Whistling-Duck,TC000082,lewduc1,species,222.0,LEWD LWDU,DEJA,
Thalassornis leuconotus,White-backed Duck,TC000084,whbduc1,species,224.0,WBDU,THLE,
Anser cygnoides,Swan Goose,TC000085,swagoo1,species,227.0,SWGO,ANCY,
Anser fabalis,Taiga Bean-Goose,TC000086,taibeg1,species,228.0,TBGO,ANFA,TABG
Anser serrirostris,Tundra Bean-Goose,TC000087,tunbeg1,species,232.0,TBGO,ANSE,TUBG
Anser brachyrhynchus,Pink-footed Goose,TC000089,pifgoo,species,236.0,,ANBR,PFGO
Anser albifrons,Greater White-fronted Goose,TC000090,gwfgoo,species,237.0,,ANAL,GWFG
Anser erythropus,Lesser White-fronted Goose,TC000098,lwfgoo,species,247.0,,ANER,LWFG
Anser anser,Graylag Goose,TC000099,gragoo,species,248.0,,ANAN,GRGO
Anser indicus,Bar-headed Goose,TC000103,bahgoo,species,252.0,BHGO,ANIN,
Chen canagica,Emperor Goose,TC000104,empgoo,species,253.0,,CHCA,EMGO
Chen caerulescens,Snow Goose,TC000105,snogoo,species,254.0,,CHCA,SNGO
Chen rossii,Ross's Goose,TC000108,rosgoo,species,259.0,,CHRO,ROGO
Branta bernicla,Brant,TC000110,brant,species,261.0,BRGO,BRBE,BRAN
Branta leucopsis,Barnacle Goose,TC000116,bargoo,species,268.0,BAGO,BRLE,BARG
Branta hutchinsii,Cackling Goose,TC000119,cacgoo1,species,271.0,CAGO,BRHU,CACG
Branta canadensis,Canada Goose,TC000124,cangoo,species,277.0,CAGO,BRCA,CANG
Branta sandvicensis,Hawaiian Goose,TC000130,hawgoo,species,289.0,NENE,BRSA,HAGO
Branta ruficollis,Red-breasted Goose,TC000131,rebgoo1,species,290.0,RBGO,BRRU,
Cereopsis novaehollandiae,Cape Barren Goose,TC000134,cabgoo1,species,293.0,CBGO,CENO,
Stictonetta naevosa,Freckled Duck,TC000135,freduc1,species,294.0,FRDU,STNA,
Cyanochen cyanoptera,Blue-winged Goose,TC000136,buwgoo1,species,295.0,BWGO,CYCY,
Cygnus olor,Mute Swan,TC000137,mutswa,species,296.0,,CYOL,MUSW
Cygnus atratus,Black Swan,TC000138,blkswa,species,297.0,BLSW,CYAT,
Cygnus melancoryphus,Black-necked Swan,TC000139,blnswa2,species,298.0,BNSW,CYME,
Cygnus buccinator,Trumpeter Swan,TC000140,truswa,species,299.0,TRSW,CYBU,TRUS
Cygnus columbianus,Tundra Swan,TC000143,tunswa,species,302.0,,CYCO,TUSW
Cygnus cygnus,Whooper Swan,TC000147,whoswa,species,306.0,WHSW,CYCY,WHOS
Coscoroba coscoroba,Coscoroba Swan,TC000149,cosswa1,species,308.0,COSW,COCO,
Sarkidiornis melanotos,Comb Duck,TC000150,comduc1,species,309.0,CBDU,SAME,CODU
Pteronetta hartlaubii,Hartlaub's Duck,TC000151,harduc1,species,312.0,HADU,PTHA,
Oressochen jubatus,Orinoco Goose,TC000159,origoo1,species,312.5,,ORJU,ORGO
Oressochen melanopterus,Andean Goose,TC000152,andgoo1,species,313.0,ANGO,ORME,
Chloephaga picta,Upland Goose,TC000153,uplgoo1,species,314.0,UPGO,CHPI,
Chloephaga hybrida,Kelp Goose,TC000156,kelgoo1,species,319.0,KEGO,CHHY,
Chloephaga poliocephala,Ashy-headed Goose,TC000157,ashgoo1,species,322.0,AHGO,CHPO,
Chloephaga rubidiceps,Ruddy-headed Goose,TC000158,ruhgoo1,species,323.0,RHGO,CHRU,
Alopochen aegyptiaca,Egyptian Goose,TC000160,egygoo,species,325.0,EGGO,ALAE,
Tadorna ferruginea,Ruddy Shelduck,TC000161,rudshe,species,326.0,RUSH,TAFE,
Tadorna cana,South African Shelduck,TC000162,soashe1,species,327.0,SASH,TACA,
Tadorna tadornoides,Australian Shelduck,TC000163,ausshe1,species,328.0,AUSH,TATA,
Tadorna variegata,Paradise Shelduck,TC000164,parshe1,species,329.0,PASH,TAVA,
Tadorna tadorna,Common Shelduck,TC000165,comshe,species,330.0,COSH,TATA,
Tadorna radjah,Radjah Shelduck,TC000166,radshe1,species,331.0,RASH,TARA,
Tadorna cristata,Crested Shelduck,TC000167,creshe1,species,334.0,CRSH,TACR,
Plectropterus gambensis,Spur-winged Goose,TC000168,spwgoo1,species,335.0,SWGO,PLGA,
Tachyeres patachonicus,Flying Steamer-Duck,TC000169,flystd1,species,338.0,FSDU FLSD,TAPA,
Tachyeres pteneres,Flightless Steamer-Duck,TC000170,flistd1,species,339.0,FSDU FLSD,TAPT,
Tachyeres brachypterus,Falkland Steamer-Duck,TC000171,falstd1,species,340.0,FASD FSDU,TABR,
Tachyeres leucocephalus,White-headed Steamer-Duck,TC000172,whhstd1,species,341.0,CSDU WHSD,TALE,
Lophonetta specularioides,Crested Duck,TC000174,creduc1,species,343.0,CRDU,LOSP,
Speculanas specularis,Spectacled Duck,TC000175,speduc2,species,346.0,BWDU SPDU,SPSP,
Cairina moschata,Muscovy Duck,TC000176,musduc,species,347.0,,CAMO,MUDU
Cairina scutulata,White-winged Duck,TC000179,whwduc1,species,350.0,WWDU,CASC,
Nettapus pulchellus,Green Pygmy-Goose,TC000180,grnpyg1,species,351.0,GRPG GPGO,NEPU,
Nettapus coromandelianus,Cotton Pygmy-Goose,TC000181,copgoo1,species,352.0,COPG CPGO,NECO,
Nettapus auritus,African Pygmy-Goose,TC000182,afrpyg1,species,355.0,APGO AFPG,NEAU,
Callonetta leucophrys,Ringed Teal,TC000183,rintea1,species,356.0,RITE,CALE,
Aix sponsa,Wood Duck,TC000184,wooduc,species,357.0,CWDU,AISP,WODU
Aix galericulata,Mandarin Duck,TC000187,manduc,species,360.0,MADU,AIGA,
Chenonetta jubata,Maned Duck,TC000188,manduc1,species,361.0,AWDU MADU,CHJU,
Amazonetta brasiliensis,Brazilian Teal,TC000189,bratea1,species,362.0,BRTE,AMBR,
Hymenolaimus malacorhynchos,Blue Duck,TC000190,bluduc1,species,365.0,BLDU,HYMA,
Merganetta armata,Torrent Duck,TC000191,torduc1,species,366.0,TODU,MEAR,
Salvadorina waigiuensis,Salvadori's Teal,TC000192,saltea1,species,373.0,SATE,SAWA,
Anas sparsa,African Black Duck,TC000193,afbduc1,species,374.0,ABDU,ANSP,
Anas strepera,Gadwall,TC000194,gadwal,species,377.0,,ANST,GADW
Anas falcata,Falcated Duck,TC000200,falduc,species,383.0,,ANFA,FADU
Anas penelope,Eurasian Wigeon,TC000201,eurwig,species,384.0,,ANPE,EUWI
Anas americana,American Wigeon,TC000203,amewig,species,386.0,,ANAM,AMWI
Anas sibilatrix,Chiloe Wigeon,TC000206,chiwig1,species,389.0,CHWI,ANSI,
Anas rubripes,American Black Duck,TC000207,ambduc,species,390.0,,ANRU,ABDU
Anas undulata,Yellow-billed Duck,TC000209,yebduc1,species,392.0,YBDU,ANUN,
Anas melleri,Meller's Duck,TC000210,melduc1,species,395.0,MEDU,ANME,
Anas platyrhynchos,Mallard,TC000211,mallar,species,396.0,MADU,ANPL,MALL
Anas fulvigula,Mottled Duck,TC000222,motduc,species,409.0,,ANFU,MODU
Anas wyvilliana,Hawaiian Duck,TC000227,hawduc,species,412.0,HADU,ANWY,HAWD
Anas laysanensis,Laysan Duck,TC000228,layduc,species,413.0,LADU,ANLA,LAYD
Anas poecilorhyncha,Indian Spot-billed Duck,TC000229,isbduc1,species,414.0,ISBD,ANPO,
Anas zonorhyncha,Eastern Spot-billed Duck,TC000230,spbduc,species,417.0,,ANZO,ESBD
Anas superciliosa,Pacific Black Duck,TC000231,pabduc1,species,418.0,PBDU GRDU,ANSU,
Anas luzonica,Philippine Duck,TC000232,phiduc1,species,422.0,PHDU,ANLU,
Anas discors,Blue-winged Teal,TC000233,buwtea,species,423.0,,ANDI,BWTE
Anas cyanoptera,Cinnamon Teal,TC000236,cintea,species,426.0,,ANCY,CITE
Anas platalea,Red Shoveler,TC000239,redsho1,species,434.0,RESH,ANPL,
Anas smithii,Cape Shoveler,TC000240,capsho1,species,435.0,CASH,ANSM,
Anas rhynchotis,Australian Shoveler,TC000241,aussho1,species,436.0,AUSH,ANRH,
Anas clypeata,Northern Shoveler,TC000242,norsho,species,439.0,NOSH,ANCL,NSHO
Anas bahamensis,White-cheeked Pintail,TC000243,whcpin,species,440.0,WCPI,ANBA,WCHP
Anas erythrorhyncha,Red-billed Duck,TC000246,rebduc1,species,445.0,RBDU RBTE,ANER,
Anas acuta,Northern Pintail,TC000247,norpin,species,446.0,,ANAC,NOPI
Anas eatoni,Eaton's Pintail,TC000248,eatpin1,species,447.0,EAPI,ANEA,
Anas georgica,Yellow-billed Pintail,TC000249,yebpin1,species,450.0,YBPI,ANGE,
Anas versicolor,Silver Teal,TC000252,siltea1,species,455.0,SITE,ANVE,
Anas puna,Puna Teal,TC000253,puntea1,species,458.0,PUTE,ANPU,
Anas hottentota,Hottentot Teal,TC000254,hottea1,species,459.0,HOTE,ANHO,
Anas querquedula,Garganey,TC000255,gargan,species,460.0,,ANQU,GARG
Anas formosa,Baikal Teal,TC000256,baitea,species,461.0,,ANFO,BATE
Anas crecca,Green-winged Teal,TC000257,gnwtea,species,462.0,EWTE EGWT,ANCR,GWTE
Anas andium,Andean Teal,TC000261,spetea3,species,468.0,ANTE,ANAN,
Anas flavirostris,Yellow-billed Teal,TC000262,yebtea1,species,471.0,YBTE,ANFL,
Anas capensis,Cape Teal,TC000266,captea1,species,475.0,CATE,ANCA,
Anas bernieri,Bernier's Teal,TC000267,bertea1,species,476.0,BETE,ANBE,
Anas albogularis,Andaman Teal,TC000269,andtea1,species,476.5,ANTE,ANAL,
Anas gibberifrons,Sunda Teal,TC000268,suntea1,species,477.0,INTE SUTE,ANGI,
Anas gracilis,Gray Teal,TC000270,gretea1,species,481.0,GRTE,ANGR,
Anas castanea,Chestnut Teal,TC000271,chetea1,species,482.0,CHTE,ANCA,
Anas aucklandica,Auckland Islands Teal,TC000272,auitea1,species,483.0,AUTE AITE,ANAU,
Anas nesiotis,Campbell Islands Teal,TC000273,caitea1,species,484.0,CATE CITE,ANNE,
Anas chlorotis,Brown Teal,TC000274,brotea1,species,485.0,BRTE,ANCH,
Malacorhynchus membranaceus,Pink-eared Duck,TC000277,pieduc1,species,488.0,PEDU,MAME,
Marmaronetta angustirostris,Marbled Teal,TC000278,martea1,species,489.0,MADU MATE,MAAN,
Rhodonessa caryophyllacea,Pink-headed Duck,TC000279,pihduc1,species,490.0,PHDU,RHCA,
Netta rufina,Red-crested Pochard,TC000280,recpoc,species,491.0,RCPO,NERU,
Netta erythrophthalma,Southern Pochard,TC000281,soupoc1,species,492.0,SOPO,NEER,
Netta peposaca,Rosy-billed Pochard,TC000282,robpoc1,species,495.0,RBPO,NEPE,
Aythya valisineria,Canvasback,TC000283,canvas,species,496.0,,AYVA,CANV
Aythya americana,Redhead,TC000284,redhea,species,497.0,,AYAM,REDH
Aythya ferina,Common Pochard,TC000285,compoc,species,498.0,COPO,AYFE,COMP
Aythya collaris,Ring-necked Duck,TC000286,rinduc,species,499.0,,AYCO,RNDU
Aythya nyroca,Ferruginous Duck,TC000289,ferduc,species,502.0,FEDU,AYNY,
Aythya innotata,Madagascar Pochard,TC000290,madpoc1,species,503.0,MAPO,AYIN,
Aythya baeri,Baer's Pochard,TC000291,baepoc1,species,504.0,BAPO,AYBA,
Aythya australis,White-eyed Duck,TC000292,wheduc1,species,505.0,WEDU HARD,AYAU,
Aythya fuligula,Tufted Duck,TC000293,tufduc,species,506.0,,AYFU,TUDU
Aythya novaeseelandiae,New Zealand Scaup,TC000294,nezsca1,species,507.0,NZSC,AYNO,
Aythya marila,Greater Scaup,TC000295,gresca,species,508.0,,AYMA,GRSC
Aythya affinis,Lesser Scaup,TC000296,lessca,species,511.0,,AYAF,LESC
Polysticta stelleri,Steller's Eider,TC000299,steeid,species,514.0,,POST,STEI
Somateria fischeri,Spectacled Eider,TC000300,speeid,species,515.0,,SOFI,SPEI
Somateria spectabilis,King Eider,TC000301,kineid,species,516.0,,SOSP,KIEI
Somateria mollissima,Common Eider,TC000302,comeid,species,517.0,,SOMO,COEI
Histrionicus histrionicus,Harlequin Duck,TC000311,harduc,species,526.0,,HIHI,HADU
Camptorhynchus labradorius,Labrador Duck,TC000312,labduc,species,529.0,LADU,CALA,LABD
Melanitta perspicillata,Surf Scoter,TC000313,sursco,species,530.0,,MEPE,SUSC
Melanitta fusca,White-winged Scoter,TC000314,whwsco,species,531.0,VWSC,MEFU,WWSC
Melanitta nigra,Common Scoter,TC000319,blksco1,species,536.0,COSC,MENI,
Melanitta americana,Black Scoter,TC000320,blksco2,species,537.0,,MEAM,BLSC
Clangula hyemalis,Long-tailed Duck,TC000323,lotduc,species,540.0,,CLHY,LTDU
Bucephala albeola,Bufflehead,TC000324,buffle,species,541.0,,BUAL,BUFF
Bucephala clangula,Common Goldeneye,TC000326,comgol,species,543.0,,BUCL,COGO
Bucephala islandica,Barrow's Goldeneye,TC000329,bargol,species,548.0,,BUIS,BAGO
Mergellus albellus,Smew,TC000333,smew,species,552.0,,MEAL,SMEW
Lophodytes cucullatus,Hooded Merganser,TC000334,hoomer,species,553.0,,LOCU,HOME
Mergus australis,Auckland Islands Merganser,TC000335,auimer1,species,554.0,AUME AIME,MEAU,
Mergus merganser,Common Merganser,TC000336,commer,species,555.0,,MEME,COME
Mergus octosetaceus,Brazilian Merganser,TC000339,bramer1,species,560.0,BRME,MEOC,
Mergus serrator,Red-breasted Merganser,TC000340,rebmer,species,561.0,,MESE,RBME
Mergus squamatus,Scaly-sided Merganser,TC000342,scsmer1,species,563.0,SSME,MESQ,
Heteronetta atricapilla,Black-headed Duck,TC000344,blhduc1,species,565.0,BHDU,HEAT,
Nomonyx dominicus,Masked Duck,TC000345,masduc,species,566.0,,NODO,MADU
Oxyura jamaicensis,Ruddy Duck,TC000346,rudduc,species,567.0,,OXJA,RUDU
Oxyura leucocephala,White-headed Duck,TC000349,whhduc1,species,572.0,WHDU,OXLE,
Oxyura maccoa,Maccoa Duck,TC000350,macduc1,species,573.0,MADU,OXMA,
Oxyura vittata,Lake Duck,TC000351,lakduc1,species,574.0,LADU,OXVI,
Oxyura australis,Blue-billed Duck,TC000353,blbduc1,species,576.0,BBDU,OXAU,
Biziura lobata,Musk Duck,TC000354,musduc1,species,577.0,MUDU,BILO,
Alectura lathami,Australian Brushturkey,TC000357,ausbrt1,species,580.0,AUBR,ALLA,
Aepypodius arfakianus,Wattled Brushturkey,TC000358,watbrt1,species,583.0,WABR,AEAR,
Aepypodius bruijnii,Waigeo Brushturkey,TC000359,brubrt1,species,586.0,WABR,AEBR,
Talegalla cuvieri,Red-billed Brushturkey,TC000360,rebbrt1,species,587.0,RBBR,TACU,
Talegalla fuscirostris,Yellow-legged Brushturkey,TC000361,bkbbrt1,species,588.0,BBBR YLBR,TAFU,
Talegalla jobiensis,Red-legged Brushturkey,TC000362,bncbrt1,species,591.0,COBR RLBR,TAJO,
Leipoa ocellata,Malleefowl,TC000363,mallee1,species,594.0,MALL,LEOC,
Macrocephalon maleo,Maleo,TC000364,maleo1,species,595.0,MALE,MAMA,
Eulipoa wallacei,Moluccan Scrubfowl,TC000365,molscr1,species,596.0,MOSC MOME,EUWA,
Megapodius pritchardii,Niuafoou Scrubfowl,TC000366,niuscr1,species,597.0,NISC TOME,MEPR,
Megapodius laperouse,Micronesian Scrubfowl,TC000367,micscr1,species,598.0,MIME MISC,MELA,
Megapodius nicobariensis,Nicobar Scrubfowl,TC000368,nicscr1,species,601.0,NISC NIME,MENI,
Megapodius cumingii,Tabon Scrubfowl,TC000369,tabscr1,species,604.0,TASC PHME,MECU,
Megapodius bernsteinii,Sula Scrubfowl,TC000370,sulscr1,species,610.0,SUSC SUME,MEBE,
Megapodius tenimberensis,Tanimbar Scrubfowl,TC000371,tanscr1,species,611.0,TASC TAME,METE,
Megapodius freycinet,Dusky Scrubfowl,TC012446,dusscr2,species,612.0,DUSC DUME,MEFR,
Megapodius geelvinkianus,Biak Scrubfowl,TC012447,dusscr3,species,614.0,BISC,MEGE,
Megapodius forsteni,Forsten's Scrubfowl,TC000373,forscr1,species,615.0,FOSC DUME,MEFO,
Megapodius eremita,Melanesian Scrubfowl,TC000374,melscr1,species,616.0,MESC MEME,MEER,
Megapodius layardi,Vanuatu Scrubfowl,TC000375,vanscr1,species,617.0,VASC VAME,MELA,
Megapodius decollatus,New Guinea Scrubfowl,TC000376,negscr1,species,618.0,NGSC,MEDE,
Megapodius reinwardt,Orange-footed Scrubfowl,TC000377,orfscr1,species,619.0,OFSC,MERE,
Ortalis vetula,Plain Chachalaca,TC000378,placha,species,626.0,,ORVE,PLCH
Ortalis cinereiceps,Gray-headed Chachalaca,TC000379,grhcha1,species,631.0,GHCH,ORCI,GHEC
Ortalis garrula,Chestnut-winged Chachalaca,TC000380,chwcha1,species,632.0,CWCH,ORGA,
Ortalis ruficauda,Rufous-vented Chachalaca,TC000381,ruvcha1,species,633.0,,ORRU,RVCH
Ortalis erythroptera,Rufous-headed Chachalaca,TC000384,ruhcha1,species,636.0,RHCH,ORER,
Ortalis wagleri,Rufous-bellied Chachalaca,TC000385,rubcha1,species,637.0,RBCH,ORWA,RBEC
Ortalis poliocephala,West Mexican Chachalaca,TC000386,wemcha1,species,638.0,,ORPO,WMCH
Ortalis canicollis,Chaco Chachalaca,TC000387,chacha1,species,639.0,CHCH,ORCA,
Ortalis leucogastra,White-bellied Chachalaca,TC000388,whbcha1,species,642.0,,ORLE,WBCH
Ortalis columbiana,Colombian Chachalaca,TC012380,colcha1,species,642.5,COCH,ORCO,
Ortalis guttata,Speckled Chachalaca,TC012788,specha3,species,643.5,SPCH,ORGU,
Ortalis araucuan,East Brazilian Chachalaca,TC012787,specha2,species,647.0,EBCH,ORAR,
Ortalis squamata,Scaled Chachalaca,TC012789,specha4,species,648.0,SCCH,ORSQ,
Ortalis motmot,Variable Chachalaca,TC000390,varcha1,species,649.0,LHCH VACH,ORMO,
Ortalis superciliaris,Buff-browed Chachalaca,TC000391,bubcha1,species,652.0,BBCH,ORSU,
Penelope argyrotis,Band-tailed Guan,TC000392,batgua1,species,653.0,BTGU,PEAR,
Penelope barbata,Bearded Guan,TC000393,beagua1,species,657.0,BEGU,PEBA,
Penelope ortoni,Baudo Guan,TC000394,baugua1,species,658.0,BAGU,PEOR,
Penelope montagnii,Andean Guan,TC000395,andgua1,species,659.0,ANGU,PEMO,
Penelope marail,Marail Guan,TC000396,margua1,species,665.0,MAGU,PEMA,
Penelope superciliaris,Rusty-margined Guan,TC000397,rumgua1,species,668.0,RMGU,PESU,
Penelope dabbenei,Red-faced Guan,TC000398,refgua1,species,672.0,RFGU,PEDA,
Penelope jacquacu,Spix's Guan,TC000399,spigua1,species,673.0,SPGU,PEJA,
Penelope purpurascens,Crested Guan,TC000400,cregua1,species,678.0,,PEPU,CRGU
Penelope perspicax,Cauca Guan,TC000401,caugua1,species,682.0,CAGU,PEPE,
Penelope albipennis,White-winged Guan,TC000402,whwgua1,species,683.0,WWGU,PEAL,
Penelope obscura,Dusky-legged Guan,TC000403,dulgua1,species,684.0,DLGU,PEOB,
Penelope pileata,White-crested Guan,TC000406,whcgua1,species,688.0,WCGU,PEPI,
Penelope ochrogaster,Chestnut-bellied Guan,TC000407,chbgua1,species,689.0,CBGU,PEOC,
Penelope jacucaca,White-browed Guan,TC000408,whbgua1,species,690.0,WBGU,PEJA,
Pipile pipile,Trinidad Piping-Guan,TC000409,trpgua1,species,691.0,TRPG TPGU,PIPI,
Pipile cumanensis,Blue-throated Piping-Guan,TC000410,btpgua1,species,692.0,BTPG,PICU,
Pipile cujubi,Red-throated Piping-Guan,TC000411,rtpgua1,species,695.0,RTPG,PICU,
Pipile jacutinga,Black-fronted Piping-Guan,TC000412,bfpgua1,species,698.0,BFPG,PIJA,
Aburria aburri,Wattled Guan,TC000413,watgua1,species,699.0,WAGU,ABAB,
Chamaepetes unicolor,Black Guan,TC000414,blagua1,species,700.0,BLGU,CHUN,BLAG
Chamaepetes goudotii,Sickle-winged Guan,TC000415,siwgua1,species,701.0,SWGU,CHGO,
Penelopina nigra,Highland Guan,TC000416,higgua1,species,708.0,,PENI,HIGU
Oreophasis derbianus,Horned Guan,TC000417,horgua1,species,709.0,,ORDE,HOGU
Nothocrax urumutum,Nocturnal Curassow,TC000418,noccur1,species,710.0,NOCU,NOUR,
Mitu tomentosum,Crestless Curassow,TC000419,crecur2,species,711.0,CRCU,MITO,
Mitu salvini,Salvin's Curassow,TC000420,salcur1,species,712.0,SACU,MISA,
Mitu tuberosum,Razor-billed Curassow,TC000421,rabcur2,species,713.0,RBCU,MITU,
